"acc"	"lineage"	"cross_references"	"collection_date"	"country"	"center_name"	"host"	"TAXON"	"coverage"	"phylogeny"	"who"
""	"B.1.1.214"	""	"20201104"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20201118"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201118"	"Japan"	""	"Homo sapiens"	"2697049"	"99.31167"	""	""
""	"B.1.1.214"	""	"20201114"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201111"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20200908"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200907"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200916"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200918"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20200915"	"Japan"	""	"Homo sapiens"	"2697049"	"99.99664"	""	""
""	"B.1.1.214"	""	"20200923"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20200922"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20200929"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20201007"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20201007"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20201008"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20201006"	"Uganda"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20201007"	"India"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20201015"	"India"	""	"Homo sapiens"	"2697049"	"99.99664"	""	""
""	"B.1.1.284"	""	"20201110"	"Uganda"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201116"	"Japan"	""	"Homo sapiens"	"2697049"	"99.1102"	""	""
""	"B.1.1.284"	""	"20201118"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201115"	"Japan"	""	"Homo sapiens"	"2697049"	"99.1102"	""	""
""	"B.1.1.214"	""	"20201114"	"Uganda"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201118"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201116"	"Ghana"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201124"	"Ghana"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.284"	""	"20201113"	"Ghana"	""	"Homo sapiens"	"2697049"	"99.993286"	""	""
""	"B.1.1.284"	""	"20201118"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201111"	"Ghana"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201116"	"Ghana"	""	"Homo sapiens"	"2697049"	"99.99664"	""	""
""	"B.1.1.214"	""	"20201116"	"Ghana"	""	"Homo sapiens"	"2697049"	"99.993286"	""	""
""	"B.1.1.284"	""	"20201101"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201122"	"Ghana"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201126"	"Ghana"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201125"	"Uganda"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201121"	"Ghana"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201124"	"Uganda"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201127"	"Ghana"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201127"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201127"	"Ghana"	""	"Homo sapiens"	"2697049"	"99.99664"	""	""
""	"B.1.1.214"	""	"20201127"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201127"	"Ghana"	""	"Homo sapiens"	"2697049"	"99.993286"	""	""
""	"B.1.1.214"	""	"20201127"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201127"	"Japan"	""	"Homo sapiens"	"2697049"	"99.99664"	""	""
""	"B.1.1.214"	""	"20201127"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""	""
""	"B.1.1.214"	""	"20201210"	"Japan"	""	"Homo sapiens"	"2697049"	"99.993286"	""	""
